"individualAdultID","lightWavelength","behaviorType","day","Value"
"9","365nm","Time_In_Center_Zone",6,47.75
"9","365nm","Time_In_Center_Zone",7,20.34
"9","365nm","Time_In_Center_Zone",8,62.07
"9","365nm","Time_In_Center_Zone",9,51.89
"9","365nm","Time_In_Center_Zone",10,63.45
"10","365nm","Time_In_Center_Zone",1,119.45
"10","365nm","Time_In_Center_Zone",2,63.36
"10","365nm","Time_In_Center_Zone",3,59.03
"10","365nm","Time_In_Center_Zone",4,86.4
"10","365nm","Time_In_Center_Zone",5,45.7
"10","365nm","Time_In_Center_Zone",6,40.63
"10","365nm","Time_In_Center_Zone",7,31.29
"10","365nm","Time_In_Center_Zone",8,58.89
"10","365nm","Time_In_Center_Zone",9,26.33
"10","365nm","Time_In_Center_Zone",10,38.86
"11","365nm","Time_In_Center_Zone",1,108.42
"11","365nm","Time_In_Center_Zone",2,54.24
"11","365nm","Time_In_Center_Zone",3,74.57
"11","365nm","Time_In_Center_Zone",4,83.59
"11","365nm","Time_In_Center_Zone",5,31.55
"11","365nm","Time_In_Center_Zone",6,45.54
"11","365nm","Time_In_Center_Zone",7,29.78
"11","365nm","Time_In_Center_Zone",8,54.55
"11","365nm","Time_In_Center_Zone",9,38.79
"11","365nm","Time_In_Center_Zone",10,22.66
"12","365nm","Time_In_Center_Zone",1,99.82
"12","365nm","Time_In_Center_Zone",2,72.88
"12","365nm","Time_In_Center_Zone",3,64.2
"12","365nm","Time_In_Center_Zone",4,82.58
"12","365nm","Time_In_Center_Zone",5,44.17
"12","365nm","Time_In_Center_Zone",6,44.59
"12","365nm","Time_In_Center_Zone",7,53.31
"12","365nm","Time_In_Center_Zone",8,57.64
"12","365nm","Time_In_Center_Zone",9,79.37
"12","365nm","Time_In_Center_Zone",10,17.46
"13","365nm","Time_In_Center_Zone",1,92.61
"13","365nm","Time_In_Center_Zone",2,94.66
"13","365nm","Time_In_Center_Zone",3,49.92
"13","365nm","Time_In_Center_Zone",4,71.23
"13","365nm","Time_In_Center_Zone",5,35.69
"13","365nm","Time_In_Center_Zone",6,37.17
"13","365nm","Time_In_Center_Zone",7,49.24
"13","365nm","Time_In_Center_Zone",8,58
"13","365nm","Time_In_Center_Zone",9,46.76
"13","365nm","Time_In_Center_Zone",10,59.98
"14","365nm","Time_In_Center_Zone",1,60.47
"14","365nm","Time_In_Center_Zone",2,83.18
"14","365nm","Time_In_Center_Zone",3,65.16
"14","365nm","Time_In_Center_Zone",4,59.85
"14","365nm","Time_In_Center_Zone",5,39.76
"14","365nm","Time_In_Center_Zone",6,56.73
"14","365nm","Time_In_Center_Zone",7,50.58
"14","365nm","Time_In_Center_Zone",8,60.2
"14","365nm","Time_In_Center_Zone",9,47.46
"14","365nm","Time_In_Center_Zone",10,53.73
"15","365nm","Time_In_Center_Zone",1,107.23
"15","365nm","Time_In_Center_Zone",2,88.04
"15","365nm","Time_In_Center_Zone",3,79.02
"15","365nm","Time_In_Center_Zone",4,75.19
"15","365nm","Time_In_Center_Zone",5,30.48
