dumyID_EachDay_EachLight,trailID,lightWavelength,behaviorType,day,value
7,365nm_6_2,365nm,Time_In_Center_Zone,6,46.91
7,365nm_7_2,365nm,Time_In_Center_Zone,7,43.79
7,365nm_8_2,365nm,Time_In_Center_Zone,8,10.73
7,365nm_9_2,365nm,Time_In_Center_Zone,9,25.08
7,365nm_10_2,365nm,Time_In_Center_Zone,10,35.33
8,365nm_1_2,365nm,Time_In_Center_Zone,1,160.74
8,365nm_2_2,365nm,Time_In_Center_Zone,2,145.38
8,365nm_3_2,365nm,Time_In_Center_Zone,3,166.19
8,365nm_4_2,365nm,Time_In_Center_Zone,4,121.45
8,365nm_5_2,365nm,Time_In_Center_Zone,5,74.06
8,365nm_6_2,365nm,Time_In_Center_Zone,6,40.11
8,365nm_7_2,365nm,Time_In_Center_Zone,7,39.42
8,365nm_8_2,365nm,Time_In_Center_Zone,8,23.06
8,365nm_9_2,365nm,Time_In_Center_Zone,9,23.39
8,365nm_10_2,365nm,Time_In_Center_Zone,10,44.78
9,365nm_1_2,365nm,Time_In_Center_Zone,1,185.22
9,365nm_2_2,365nm,Time_In_Center_Zone,2,137.54
9,365nm_3_2,365nm,Time_In_Center_Zone,3,86.38
9,365nm_4_2,365nm,Time_In_Center_Zone,4,148.72
9,365nm_5_2,365nm,Time_In_Center_Zone,5,104.07
9,365nm_6_2,365nm,Time_In_Center_Zone,6,35.44
9,365nm_7_2,365nm,Time_In_Center_Zone,7,44.13
9,365nm_8_2,365nm,Time_In_Center_Zone,8,43.23
9,365nm_9_2,365nm,Time_In_Center_Zone,9,46.12
9,365nm_10_2,365nm,Time_In_Center_Zone,10,39.4
10,365nm_1_2,365nm,Time_In_Center_Zone,1,174.91
10,365nm_2_2,365nm,Time_In_Center_Zone,2,172.82
10,365nm_3_2,365nm,Time_In_Center_Zone,3,105.14
10,365nm_4_2,365nm,Time_In_Center_Zone,4,140.22
10,365nm_5_2,365nm,Time_In_Center_Zone,5,78.45
10,365nm_6_2,365nm,Time_In_Center_Zone,6,36.09
10,365nm_7_2,365nm,Time_In_Center_Zone,7,48.21
10,365nm_8_2,365nm,Time_In_Center_Zone,8,47.81
10,365nm_9_2,365nm,Time_In_Center_Zone,9,10.12
