study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
28,journalArticle,2024,"MacAulay, Scott; Cable, Jo",Gyrodactylus in the spotlight: how exposure to light impacts disease and the feeding behavior of the freshwater tropical guppy Poecilia reticulata,WOS,Journal of Fish Biology,10.1111/jfb.15816,"Artificial light at night (ALAN) negatively impacts organisms in many ways, from their feeding behaviors to their response and ability to deal with disease. Our knowledge of ALAN is focused on hosts, but we must also consider their parasites, which constitute half of all described animal species. Here, we assessed the impact of light exposure on a model host–parasite system (Poecilia reticulata and the ectoparasitic monogenean Gyrodactylus turnbulli). First, parasite-free fish were exposed to 12:12 h light:dark (control) or 24:0 h light:dark (ALAN) for 21 days followed by experimental infection. Second, naturally acquired G. turnbulli infections were monitored for 28 days during exposure of their hosts to a specified light regime (6:18 h, 12:12 h, or 24:0 h light:dark). Experimentally infected fish exposed to constant light had, on average, a greater maximum parasite burden than controls, but no other measured parasite metrics were impacted. Host feeding behavior was also significantly affected: fish under ALAN fed faster and took more bites than controls, whilst fish exposed to reduced light fed slower. Thus, ALAN can impact parasite burdens, even in the short term, and altering light conditions will impact fish feeding behavior. Such responses could initiate disease outbreaks or perturb food-webs with wider ecological impacts.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,journalArticle,2025,"Liu, Hui; Lu, Zijian; Shen, Pingping; Zhang, Kaicheng; Qin, Geng; Yin, Jianping; Lin, Qiang; Zhang, Huixian",The effect of vessel noise on behavior and physiology of orange-spotted grouper (Epinephelus coioides) under conditions with and without artificial lighting,WOS,Marine Pollution Bulletin,10.1016/j.marpolbul.2025.118362,"Anthropogenic disturbances have significantly transformed the ocean soundscape, with vessel noise being a primary factor that overlaps with fish hearing ranges, thereby substantially affecting marine life. Meanwhile, artificial light at night (ALAN) is an emerging stressor that can disrupt the natural rhythms of marine organisms. Despite extensive research on the individual impacts of noise and ALAN, marine organisms are often concurrently exposed to both stressors in natural environments. However, studies on their combined effects remain limited. The orange-spotted grouper (Epinephelus coioides), a large marine bony fish found in tropical and subtropical Pacific-Indian regions and highly sensitive to environmental changes, serves as an excellent model for assessing marine ecological risks. This study employed laboratory simulations to investigate the effects of vessel noise on fish behavior under different lighting conditions (natural light cycles vs. ALAN) over short- (1 week) and long-term (6 weeks) exposures. Transcriptomic analyses of the brain and head kidney were conducted to further explore the physiological impacts. The results indicated that groupers exhibited differential behavioral responses to vessel noise under varying lighting conditions. Transcriptomic data revealed that vessel noise disrupted neural development, immune function, and endocrine regulation. Moreover, the analysis showed that under ALAN, vessel noise had a more pronounced effect on the immune system. Overall, this study demonstrates that vessel noise can disrupt both the behavior and physiology of orange-spotted groupers, underscoring the importance of considering the combined effects of multiple anthropogenic stressors when evaluating their cumulative impacts on marine life.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,journalArticle,2017,"Tabor, Roger A.; Bell, Alex T. C.; Lantz, Daniel W.; Gregersen, Chris N.; Berge, Hans B.; Hawkins, Denise K.",Phototaxic Behavior of Subyearling Salmonids in the Nearshore Area of Two Urban Lakes in Western Washington State,WOS,Transactions of the American Fisheries Society,10.1080/00028487.2017.1305988,"We conducted ﬁeld experiments in the nearshore area of two urban lakes (Lake Washington and Lake Sammamish) in western Washington to test the attractive quality of artiﬁcial nighttime lighting to subyearling salmonids Oncorhynchus spp. In both lakes, experimental trials were conducted along a uniform 156-m shoreline section twice a month (one night with lights and one control night without lights) from March to May to correspond with peak nearshore rearing of subyearling salmonids. We examined the effects of three light intensities on nearshore ﬁsh abundance: (1) no light, (2) dim light (maximum, 5.0 lx), and (3) bright light (maximum, 50.0 lx). These were compared with abundances from control nights without light treatments. Beach seining was used to determine ﬁsh abundance. For each month, the total number of subyearling salmonids (Chinook Salmon O. tshawytscha, Coho Salmon O. kisutch, and Sockeye Salmon O. nerka combined) was greater on the lighted nights (all treatments combined) than it was on the control nights. In both lakes, the most subyearling salmonids were collected in the bright-light treatments, an intermediate amount in the dim-light treatments, and few in the no-light treatments. In some instances, subyearling salmonid abundances in the bright-light treatments were more than 10 times greater than in the no-light treatments. The effect of nighttime artiﬁcial lighting was generally more pronounced in March than in April or May. The results support our hypothesis that subyearling salmonids exhibit nocturnal phototaxic behavior when exposed to elevated nighttime lighting. A major concern of artiﬁcial nighttime lighting for subyearling salmonids is the potential for an increased predation risk, and we believe the prudent management goal would be to minimize artiﬁcial nighttime lighting.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,journalArticle,2019,"Ceinos, Rosa M.; Chivite, Mauro; López-Patiño, Marcos A.; Naderi, Fatemeh; Soengas, José L.; Foulkes, Nicholas S.; Míguez, Jesús M.","Differential circadian and light-driven rhythmicity of clock gene expression and behaviour in the turbot, Scophthalmus maximus",WOS,PLOS ONE,10.1371/journal.pone.0219153,"In fish, the circadian clock represents a key regulator of many aspects of biology and is controlled by combinations of abiotic and biotic factors. These environmental factors are frequently manipulated in fish farms as part of strategies designed to maximize productivity. The flatfish turbot, Scophthalmus maximus, represents one of the most important species within the aquaculture sector in Asia and Europe. Despite the strategic importance of this species, the function and regulation of the turbot circadian system remains poorly understood. Here, we have characterized the core circadian clock genes, clock1, per1, per2 and cry1 in turbot and have studied their daily expression in various tissues under a range of lighting conditions and feeding regimes. We have also explored the influence of light and feeding time on locomotor activity. Rhythmic expression of the four core clock genes was observed in all tissues studied under light dark (LD) cycle conditions. Rhythmicity of clock gene expression persisted upon transfer to artificial free running, constant conditions confirming their endogenous circadian clock control. Furthermore, turbot showed daily cycles of locomotor activity and food anticipatory activity (FAA) under LD and scheduled-feeding, with the activity phase as well as FAA coinciding with and being dependent upon exposure to light. Thus, while FAA was absent under constant dark (DD) conditions, it was still detected in constant light (LL). In contrast, general locomotor activity was arrhythmic in both constant darkness and constant light, pointing to a major contribution of light, in concert with the circadian clock, in timing locomotor activity in this species. Our data represents an important contribution to our understanding of the circadian timing system in the turbot and thereby the optimization of rearing protocols and the improvement of the well-being of turbot within fish farming environments.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,journalArticle,2023,"Saiz, Nuria; Herrera-Castillo, Lisbeth; De Pedro, Nuria; Delgado, María Jesús; Arvidsson, Sven David; Marugal-López, Miguel Ángel; Isorna, Esther",Assessing Chronodisruption Distress in Goldfish: The Importance of Multimodal Approaches,WOS,Animals,10.3390/ani13152481,"Chronodisruption caused by factors such as light at night and mistimed meals has been linked to numerous physiological alterations in vertebrates and may be an anxiogenic factor affecting welfare. This study aims to investigate whether chronodisruption causes measurable changes in the anxiety responses of goldfish under two conditions: randomly scheduled feeding (RF) and continuous light (LL). Anxiety-like behavior was assessed in the open field with object approach and black/white preference tests, which had been validated using diazepam. An increased thigmotaxis response and decreased object exploration under both chronodisruption protocols indicated anxiety states. Furthermore, locomotor activity was increased in LL fish. The black/white preference test discriminated anxiolysis induced by diazepam but was unable to detect anxiety caused by chronodisruption. Plasma cortisol increased in both RF and LL fish throughout the experiment, confirming that both conditions caused stress. The LL fish also showed an apparently desensitized hypothalamus–pituitary–interrenal HPI axis, with a decrease in pomc and crf expression. Individual analysis found no correlation between anxiety-like behavior and stress axis activation nor between scototaxis and thigmotaxis responses. However, individual differences in sensitivity to each test were detected. Altogether, these results highlight circadian disruption as a stressor for fish and endorse a multiple variable approach for reliably assessing animal discomfort.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,journalArticle,2017,"Szekeres, Petra; Wilson, AlexanderDM; Haak, ChristopherR; Danylchuk, AndyJ; Brownscombe, JacobW; Elvidge, ChrisK; Shultz, AaronD; Birnie-Gauvin, Kim; Cooke, StevenJ",Does coastal light pollution alter the nocturnal behavior and blood physiology of juvenile bonefish ( <i>Albula vulpes</i> )?,WOS,Bulletin of Marine Science,10.5343/bms.2016.1061,"Light pollution is a prevalent, but often overlooked, ecological concern in a variety of ecosystems. Marine environments are subjected to artificial lighting from coastal development, in addition to offshore sources, such as fishing vessels, oil platforms and cruise ships. Fish species that rely on nearshore habitats are most significantly impacted by coastal light pollution, as they are often limited to nearshore habitats due to predation risk in deeper offshore waters, particularly as juveniles. Juvenile bonefish [Albula vulpes (Linnaeus, 1758)] inhabit the nearshore environment, and are therefore exposed to coastal lighting and other watershed development impacts. Here, we assessed juvenile bonefish behavior and physiology in the presence of two common light sources: constant street lighting (high pressure sodium) and intermittent car headlights (H4 halogen). The behavioral responses were compared with a night and day control, whereas physiology was compared only with a night control. Each behavioral trial had two time periods: light and recovery (2 hrs each). Physiology (blood glucose and whole body cortisol) was assessed after an overnight 8-hr exposure. The results suggest that there is no effect of light pollution on the swimming behavior or whole body cortisol of juvenile bonefish, but that both forms of light pollution resulted in elevated blood glucose concentrations (a simple stress indicator) relative to controls, with constant light glucose levels being significantly higher. Further research is needed to understand the ecological consequences of light pollution on bonefish and other coastal marine fish using additional endpoints, assessing fish over longer time periods, and ideally combining data from the laboratory and the field.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,journalArticle,2022,"Fukunaga, Kodai; Takeuchi, Yuki; Yamauchi, Chihiro; Takemura, Akihiro","Induction of spawning under artificial moonlight in the honeycomb grouper <i>Epinephelus merra</i> , a lunar-synchronized spawner",WOS,Biological Rhythm Research,10.1080/09291016.2022.2046416,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,journalArticle,2001,"Oppedal, F.; Juell, J-E.; Tarranger, G. L.; Hansen, T.",Artificial light and season affects vertical distribution and swimming behaviour of post-smolt Atlantic salmon in sea cages,WOS,Journal of Fish Biology,10.1111/j.1095-8649.2001.tb02313.x,"In winter, post-smolts of Atlantic salmon Salmo salar exposed to continuous additional light of different intensities (LL) in 14 m deep sea cages maintained a constant swimming speed in circular polarized schools with maximum fish density in the warmest water layers at 11 m depth. By contrast, fish exposed to natural light only (NL) ceased swimming at dusk, ascended from the warm layer to the thermocline c. 3 m depth and were more dispersed in the whole water column during the dark phase. In early spring, fish exposed to LL of medium (LL-MED) or high (LL-HIGH) light intensity ascended and maximum fish density was at 5 m depth. A similar ascent was delayed to late spring in both the low intensity group (LL-LOW) and the NL group, coinciding with a shift in maximum temperature to this depth. The advanced ascent in the LL-HIGH and LL-MED groups is interpreted as a light-induced shift in a seasonal rhythm of feeding motivation. In summer, most of the fish in all four treatment groups were observed in the warm and less saline 4 m surface layer. It is suggested that the seasonal and diel changes in vertical distribution of Atlantic salmon are related inversely to feeding motivation, with preferences for maximum temperature and darkness acting as modifying factors.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,journalArticle,2025,"Haro, Alex J; Miehls, Scott M; Johnson, Nicholas S; Wagner, C Michael",Field and laboratory evaluations of visible light as a cue for guiding downstream-​migrating juvenile Sea Lampre y,WOS,American Fisheries Society,,"Objective: We evaluated white light as a potential guidance cue for juvenile Sea Lamprey Petromyzon marinus in a natural setting as well as the effect of water velocity (0.25-, 0.50-, 0.75-, and 1.0-m/s test velocities) on light guidance behavior in a controlled laboratory flume, and characterized emigration timing and movement rates in a small stream (∼10 m wide and 0.7 m deep). Methods: Behaviors and rates of downstream movement were monitored using PIT telemetry in both studies. Results: In the field study, downstream movement by juveniles released during October 30–November 27 appeared to be cued by precipitation-induced flow events when water temperatures ranged between 4°C and 8°C. Juveniles expressed lateral attraction to a short, bankmounted linear light array, but the guidance effect was not strong or consistent between bank light locations. Downstream movement rates decreased slightly when juveniles were exposed to the light cue. In the laboratory flume experiment, at water velocities of 0.25 and 0.75 m/s, lamprey were 2.8 and 3.3 times more likely to be detected at antennas along a wall with a linear light array compared with other antennas across the width of the flume. Significant changes in distribution were detected farther upstream in the flume during 0.25- and 0.50-m/s water velocity trials compared with 0.75-m/s trials. Further, the rate of downstream movement through the length of the flume decreased under artificial lighting compared with dark controls under the 0.25- and 0.75-m/s velocity conditions. Conclusions: The results suggest lamprey exhibit a behavioral response to the light cue in both lab and field, but water velocity influences how effectively juveniles can respond to light cues.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,journalArticle,1998,"Champalbert, Gisele; Direach-Boursier, Laurence Le",Inﬂuence of light and feeding conditions on swimming activity rhythms of larval and juvenile turbot Scophthalmus maximus L.: An experimental study,WOS,PLOS ONE,,"Turbot larvae are transported towards coastal nursery areas and live in very shallow waters. Food availability is assumed to be an important factor that retains them in such areas. To study the effects of a biotic factor (food) and an abiotic factor (light) that strongly inﬂuence behavioural mechanisms, experiments were carried out on laboratory-reared animals: larvae (1 cm), post-larvae (1.2 to 2.5 cm) and early juveniles (6 to 7 cm). Three kinds of apparatus and methods were used to record variations in swimming activity: (1) a phototaxis device to study orientation reactions in horizontal tanks; (2) actographs with infrared photoelectric barriers ﬁtted around vertical cylindrical tanks; and (3) video cameras and cylindrical tanks. Observations were performed in total darkness and under dark–light regimes. Different types and quantities of food were provided to the ﬁsh. Larvae and juveniles of turbot exhibited a positive phototaxis from 1 to 1000 µW cm 2. At intensities lower than or equal to 0.1 µW cm 2, they did not exhibit clear reactions toward or away from the light. Turbot larvae and juveniles kept in total darkness did not show a clear rhythm of activity. Under natural illumination as well as in artiﬁcial LD conditions of similar periodicity, larvae swam by day and night. Live food (Artemia nauplii or juvenile mysids) induced an immediate increase in activity or the maintenance of a high level of activity, which decreased over the following days. Recently metamorphosed turbot kept under LD conditions exhibited a clear rhythm with a nocturnal maximum. Food given at night did not induce swimming changes as long as food density remained low. At higher prey concentrations, increased activity during feeding was followed by reduced activity for more than 24 hours. A similar response pattern was noted when active food was given in large quantities during the day: juveniles displayed an immediate increase in activity, which subsequently decreased. Regular food supply during the day induced an activity rhythm with a diurnal maximum. Despite slight differences, 6–7 cm juveniles behaved in a similar way. Our results clearly indicate the importance of trophic conditions on the swimming activity rhythms of larval and juvenile turbots and the lesser role of light conditions. They are compared with results in the literature describing the behaviour of the same species, and with juvenile sole, whose behaviour appears to be different.  1998 Elsevier Science B.V. All rights reserved.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,journalArticle,2018,"Ford, Matthew I.; Elvidge, Chris K.; Baker, Dan; Pratt, Thomas C.; Smokorowski, Karen E.; Sills, Michael; Patrick, Paul; Cooke, Steven J.",Preferences of age-0 white sturgeon for different colours and strobe rates of LED lights may inform behavioural guidance strategies,WOS,Environmental Biology of Fishes,10.1007/s10641-018-0727-1,"Many populations of migratory fish species, including white sturgeon (Acipenser transmontanus Richardson), are threatened due to modification of riverine systems and may experience downstream displacement or mortality at water intake structures. Efforts to reduce the impacts of these structures are beginning to incorporate behavioural guidance, where the sensory capabilities of fishes are exploited to repel them from high-risk areas or attract them towards desirable paths. Artificial lighting has been tested before, but consisted of single-spectrum lights. Using a new programmable LED-based light guidance device (LGD), we exposed age-0 white sturgeon to light strobing at 1 Hz, 20 Hz, or constant illumination with colours (green, red, blue) matching the absorbance maxima of their retinal photopigments. The behavioural responses of the sturgeon were assessed using y-maze dichotomous choice tests under both day (light) and night (dark) conditions.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,journalArticle,2022,"Yochum, Noëlle; Bryan, David R.; Britt, Lyle L.; Berejikian, Barry A.; Haehn, Rebecca; McEntire, Scott; Towler, Rick; Atkins, Jeff; Gadberry, Brad; Irvin, Paul",Evaluating Chinook salmon ( <i>Oncorhynchus tshawytscha</i> ) response to artificial light in support of bycatch mitigation,WOS,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2021-0241,"In commercial trawl ﬁsheries in the North Paciﬁc and US West Coast, ﬁshermen and scientists are evaluating if artiﬁcial lights facilitate escapement of bycaught Chinook salmon (Oncorhynchus tshawytscha) from the trawl by attracting them to an opening provided by a bycatch reduction device. Inconsistent behaviour and escapement rates when lights were used in the trawl led us to conduct a laboratory study to evaluate the role of light properties (intensity, colour, and strobe) on marine Chinook salmon behaviour. Results from this study suggest a negative phototactic response. Light colour and strobe, and the interaction between them, differentially affected behavioural response with regard to mean swimming speed and distance from and habituation to the light. White light intensity had limited inﬂuence on response; however, the range of trialed intensities was limited. While behaviour is contextual and responses in a laboratory setting cannot be directly extrapolated to responses in ﬁshing gear, this study highlights the signiﬁcant role of light properties when trying to affect behaviour for bycatch mitigation and the importance of distinguishing between a response to light and to illuminated surroundings.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,journalArticle,2025,"Liu, Xiao; Huang, Liuyi; Li, Yuyan; Guan, Jianfeng",Effects of light intensity on the behavioural response and physiological parameters of rainbow trout (Oncorhynchus mykiss),WOS,Aquacultural Engineering,10.1016/j.aquaeng.2024.102510,"Light conditions play a pivotal role in enhancing the welfare of rainbow trout (Oncorhynchus mykiss) in deeperoffshore aquaculture systems in China. However, optimal light intensity and duration for improving rainbow trout welfare remain unclear due to limited foundational knowledge. This study investigated the effects of different light intensities (control group L0: 0 lx; treatment groups L1: 42.8 lx, L2: 59.0 lx, L3: 63.5 lx, L4: 73.0 lx) and exposure durations (1 hour and 7 days) on the behavioural responses and physiological parameters of rainbow trout. Behavioural tests measured the frequency of fish crossing a light curtain during a 10-minute period, while physiological parameters including plasma cortisol, total protein (TP), albumin (ALB), triglyceride (TG), total cholesterol (TC), aspartate transaminase (AST), and alanine transaminase (ALT) were assessed after 1-hour and 7-day treatments. Results reveal that the rainbow trout exhibits the highest crossing frequency under L1, alongside significantly lower levels of cortisol, TP, TG, TC, and AST compared to higher light intensities. In contrast, higher light intensities (L2, L3, and L4) cause increased stress, reflected by elevated plasma cortisol, protein, lipid, and enzyme levels. There are no significant differences in behaviour or physiological responses between L0 and L1. These findings imply that L1 represents a balanced light intensity that supports natural swimming behaviours with minimal stress, while higher intensities induce elevated stress. Therefore, a light intensity of 42.8 lx (L1) is recommended to enhance fish welfare in deeper-offshore aquaculture systems when artificial light is utilized.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,journalArticle,2019,"Üstündağ, Ünsal Veli; Çalıskan-Ak, E.; Ateş, Perihan Seda; Ünal, İsmail; Eğilmezer, Gizem; Yiğitbaşı, Türkan; Ata Alturfan, A.; Emekli-Alturfan, Ebru",White LED Light Exposure Inhibits the Development and Xanthophore Pigmentation of Zebrafish Embryo,WOS,Scientific Reports,10.1038/s41598-019-47163-y,"Abstract Circadian rhythm in all living organisms is disturbed continuously by artificial light sources and artificial lighting has become a hazard for public health. Circadian rhythm of melatonin maintains high levels of melatonin during the night and low levels during the day. N-acetyltransferase (arylalkylamine N-acetyltransferase, AANAT) is one of the four enzymes required for melatonin synthesis and mtnr1ba is a melatonin receptor-encoding mRNA that is expressed widely in the embryonic brain. Pax7 has important roles during neural crest development and especially xanthophore pigmentation. Due to its diurnal nature, zebrafish provide a special opportunity for research on circadian rhythms that are regulated by melatonin. Here in this study, we showed that when compared with the white light control group, white LED light exposure resulted in loss of yellow pigmentation, decreased body length and locomotor activity, oxidant-antioxidant imbalance and decreased expressions of aanat2 , mtnr1ba , and pax7 in zebrafish embryos. Histological analysis of this group revealed disorganization of the spaces among photoreceptor cells, decreased total retinal thickness and photoreceptor cell layer thickness compared with the control group. Artificial lighting pollution has the potential to become an important risk factor for different diseases including cancer especially for industrialized countries, therefore, more studies should be performed and necessary regulations should be made regarding this risk factor.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,journalArticle,2016,"Shafiei Sabet, Saeed; Van Dooren, Dirk; Slabbekoorn, Hans",Son et lumière: Sound and light effects on spatial distribution and swimming behavior in captive zebrafish,WOS,Environmental Pollution,10.1016/j.envpol.2016.02.046,"Aquatic and terrestrial habitats are heterogeneous by nature with respect to sound and light conditions. Fish may extract signals and exploit cues from both ambient modalities and they may also select their sound and light level of preference in free-ranging conditions. In recent decades, human activities in or near water have altered natural soundscapes and caused nocturnal light pollution to become more widespread. Artiﬁcial sound and light may cause anxiety, deterrence, disturbance or masking, but few studies have addressed in any detail how ﬁshes respond to spatial variation in these two modalities. Here we investigated whether sound and light affected spatial distribution and swimming behavior of individual zebraﬁsh that had a choice between two ﬁsh tanks: a treatment tank and a quiet and light escape tank. The treatments concerned a 2 2 design with noisy or quiet conditions and dim or bright light. Sound and light treatments did not induce spatial preferences for the treatment or escape tank, but caused various behavioral changes in both spatial distribution and swimming behavior within the treatment tank. Sound exposure led to more freezing and less time spent near the active speaker. Dim light conditions led to a lower number of crossings, more time spent in the upper layer and less time spent close to the tube for crossing. No interactions were found between sound and light conditions. This study highlights the potential relevance for studying multiple modalities when investigating ﬁsh behavior and further studies are needed to investigate whether similar patterns can be found for ﬁsh behavior in free-ranging conditions.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,journalArticle,2016,"Foster, Jordann G.; Algera, Dirk A.; Brownscombe, Jacob W.; Zolderdo, Aaron J.; Cooke, Steven J.",Consequences of Different Types of Littoral Zone Light Pollution on the Parental Care Behaviour of a Freshwater Teleost Fish,WOS,"Water, Air, & Soil Pollution",10.1007/s11270-016-3106-6,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,journalArticle,2012,"Riley, W.D.; Bendall, B.; Ives, M.J.; Edmonds, N.J.; Maxwell, D.L.","Street lighting disrupts the diel migratory pattern of wild Atlantic salmon, Salmo salar L., smolts leaving their natal stream",WOS,Aquaculture,10.1016/j.aquaculture.2011.12.009,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,journalArticle,2025,"Zhang, Qin; Bloecher, Nina; Evjemo, Linn Danielsen; Føre, Martin; Kelasidi, Eleni",Avoidance behaviours of farmed Atlantic salmon (Salmo salar L.) to artificial sound and light: a case study of net-pen mariculture in Norway,WOS,Frontiers in Robotics and AI,10.3389/frobt.2025.1657567,"Intensive finfish aquaculture is increasingly relying on enabling technologies and solutions such as sensor systems, robotics, and other machinery. Together with conventional farming equipment, these systems may emanate acoustic noise and artificial light, impacting the pen environment. Farmed fish have been observed to respond behaviourally and/or physiologically to anthropogenic sounds and lights, indicating a stress reaction that could impair welfare and health. This study aimed to investigate how farmed Atlantic salmon respond to such stimuli, with direct implications for the design and operation of robotic and mechanised systems in sea pens. We conducted experiments where we systematically exposed adult farmed Atlantic salmon in commercial net pens to sounds of frequencies within the range common to farm equipment (100–1,000 Hz), and submerged lights at 8 and 12 m with four different intensities (600 lx–14,500 lx). Data was analysed using sonar data and a deep learning (DL) based method for processing that automatically identified fish distribution patterns and estimated the average avoidance distance to the sound/light source. The fish fled from the sound source while playing sounds of 400 Hz, while sounds at other frequencies did not elicit a response. The response to light intensity depended on deployment depth, with the fish moving closer to the source when intensity was increased at 8 m depth, but conversely moving further away with increasing density when it was placed at 12 m. These outcomes are important inputs for the design of equipment, autonomous vehicles, robotic interventions and operations at commercial farms to ensure that their sound and light emissions have minimal impact on the fish, thereby reducing the potential of induced stress.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,journalArticle,2011,"Cowan, Mairi; Davie, Andrew; Migaud, Hervé","The effect of metal halide and novel green cathode lights on the stress response, innate immunity, eye structure and feeding activity of Atlantic cod, Gadus morhua L.: Effect of metal halide and novel green cathode lights on Gadus morhua L.",WOS,Aquaculture Research,10.1111/j.1365-2109.2010.02664.x,"High-intensity constant lighting is routinely used for photoperiod manipulation in the aquaculture industry in order to prevent early maturation. The potential welfare impacts of this technology, however, have not been extensively studied to date, and with the implementation of more e⁄cient narrow bandwidth lighting technologies (cathode, light-emitting diodes), de¢nitions of species-speci¢c sensitivities are becoming essential. The objective of this study was to investigate the impact of traditional metal halide (MH) and novel green cathode lighting on the welfare (stress response, innate immunity, retina structure, feeding activity) and light perception of Atlantic cod. The results indicated that although acute responses to light were observed, there were no clear signi¢cant long-term e¡ects of any of the lighting treatments on the stress levels (plasma cortisol, glucose), innate immune function (lysozyme activity), retina structure and population feeding activity (acute decline under all light treatments, most pronounced in ¢sh exposed to higher illumination, but normal feeding activity was resumed within 8 days following light onset). Regarding light perception, interestingly, even when subjected to highintensity constant lighting (MH mean tank intensity: 16.6 W m 2), cod still demonstrated a day^night rhythm in melatonin release, which suggests perception of the overlying ambient photoperiod.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,journalArticle,2020,"Xu, Jiawei; Lin, Chenyu; Dai, Huichao; Mao, Jingqiao; Ke, Senfan; Yin, Rucheng; Zhang, Ning; Liu, Yan; Shi, Xiaotao","Influence of low‐intensity light on phototactic behaviour of <span style=""font-variant:small-caps;""> <i>Schizothorax oconnori</i> </span> Lloyd",WOS,River Research and Applications,10.1002/rra.3580,"In the present study, colour selection and phototaxis experiments were performed on wild subadult Schizothorax oconnori Lloyd. The experimental variables included: five light colours: red, yellow, green, blue, and dark (no light conditions—control), and two flow rates of 0 and 0.3 m/s. Colour selection experiments were conducted to study the preference of S. oconnori to different colours of light in still water and at 10 lx of light intensity. The results showed that the distribution time of S. oconnori in the yellow and green light areas were significantly longer than those in the red and blue light areas (p < .05), and the order of preference for the five colours was: green> yellow > black > blue > red. In the phototaxis experiment, the phototactic behaviour of S. oconnori was studied when the light intensity was at 20 lx and the water velocity was at 0 and 0.3 m/s, respectively. The results showed that in both still and dynamic water conditions, S. oconnori displayed positive phototaxis for yellow and green light, and negative phototaxis for red and blue light. S. oconnori displayed weak phototaxis with a light intensity threshold of 0.65 lx–0.80 lx and 1.50 lx–3.05 lx for yellow and green light, respectively. The results suggest that low-intensity green light could be used for light trapping of S. oconnori. The research may be helpful in the management of fish passage facilities and fisheries.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
