Subject_ID,Replicate,Treatment,Stimulation,Index
A06.041,06,ALAN,11,-1
A06.041,06,ALAN,12,-1
A06.041,06,ALAN,13,-1
A06.041,06,ALAN,14,-1
A06.041,06,ALAN,15,-1
A06.041,06,ALAN,16,-1
A06.041,06,ALAN,17,-1
A06.041,06,ALAN,18,-1
A06.041,06,ALAN,19,-1
A06.041,06,ALAN,20,-1
A06.041,06,ALAN,21,-1
A06.041,06,ALAN,22,-1
A06.041,06,ALAN,23,-1
A06.041,06,ALAN,24,-1
A06.041,06,ALAN,25,-1
A06.042,06,ALAN,1,1.475387798
A06.042,06,ALAN,2,1.204067425
A06.042,06,ALAN,3,-1
A06.042,06,ALAN,4,-1
A06.042,06,ALAN,5,-1
A06.042,06,ALAN,6,-1
A06.042,06,ALAN,7,-1
A06.042,06,ALAN,8,-1
A06.042,06,ALAN,9,-1
A06.042,06,ALAN,10,-1
A06.042,06,ALAN,11,-1
A06.042,06,ALAN,12,-1
A06.042,06,ALAN,13,-1
A06.042,06,ALAN,14,-1
A06.042,06,ALAN,15,-1
A06.042,06,ALAN,16,-1
A06.042,06,ALAN,17,-1
A06.042,06,ALAN,18,-1
A06.042,06,ALAN,19,-1
A06.042,06,ALAN,20,-1
A06.042,06,ALAN,21,-1
A06.042,06,ALAN,22,-1
A06.042,06,ALAN,23,-1
A06.042,06,ALAN,24,-1
A06.042,06,ALAN,25,-1
A06.043,06,ALAN,1,-1
A06.043,06,ALAN,2,-1
A06.043,06,ALAN,3,-1
A06.043,06,ALAN,4,-1
A06.043,06,ALAN,5,-1
A06.043,06,ALAN,6,-0.866324906
A06.043,06,ALAN,7,-0.823301775
A06.043,06,ALAN,8,-1
A06.043,06,ALAN,9,-1
A06.043,06,ALAN,10,-1
A06.043,06,ALAN,11,-1
A06.043,06,ALAN,12,-1
A06.043,06,ALAN,13,-1
A06.043,06,ALAN,14,-0.835622487
A06.043,06,ALAN,15,-1
A06.043,06,ALAN,16,-1
A06.043,06,ALAN,17,-1
A06.043,06,ALAN,18,-1
A06.043,06,ALAN,19,-1
A06.043,06,ALAN,20,-1
A06.043,06,ALAN,21,-1
A06.043,06,ALAN,22,-1
A06.043,06,ALAN,23,-1
A06.043,06,ALAN,24,-1
A06.043,06,ALAN,25,-1
A06.044,06,ALAN,1,-1
A06.044,06,ALAN,2,-1
A06.044,06,ALAN,3,-1
A06.044,06,ALAN,4,-1
A06.044,06,ALAN,5,-1
A06.044,06,ALAN,6,-1
A06.044,06,ALAN,7,-1
A06.044,06,ALAN,8,-1
A06.044,06,ALAN,9,-1
A06.044,06,ALAN,10,-1
A06.044,06,ALAN,11,-1
A06.044,06,ALAN,12,-1
A06.044,06,ALAN,13,-1
A06.044,06,ALAN,14,-1
A06.044,06,ALAN,15,-1
A06.044,06,ALAN,16,-1
A06.044,06,ALAN,17,-1
A06.044,06,ALAN,18,-1
A06.044,06,ALAN,19,-1
A06.044,06,ALAN,20,-1
A06.044,06,ALAN,21,-1
A06.044,06,ALAN,22,-1
A06.044,06,ALAN,23,-1
A06.044,06,ALAN,24,-1
A06.044,06,ALAN,25,-1
C06.045,06,Control,1,-0.823147758
C06.045,06,Control,2,-1
C06.045,06,Control,3,-1
C06.045,06,Control,4,-0.832331204
C06.045,06,Control,5,-0.820449248
C06.045,06,Control,6,-1
C06.045,06,Control,7,-1
C06.045,06,Control,8,-1
C06.045,06,Control,9,-0.904843316
C06.045,06,Control,10,-0.912278538
C06.045,06,Control,11,-1
C06.045,06,Control,12,-0.813174329
C06.045,06,Control,13,-0.909272548
C06.045,06,Control,14,-0.919798885
C06.045,06,Control,15,-1
C06.045,06,Control,16,-1
C06.045,06,Control,17,-1
C06.045,06,Control,18,-1
C06.045,06,Control,19,-1
C06.045,06,Control,20,-1
C06.045,06,Control,21,-1
C06.045,06,Control,22,-1
C06.045,06,Control,23,-0.815848177
C06.045,06,Control,24,-1
C06.045,06,Control,25,-1
C06.048,06,Control,1,-1
C06.048,06,Control,2,-1
C06.048,06,Control,3,-0.033689857
C06.048,06,Control,4,-1
C06.048,06,Control,5,-1
C06.048,06,Control,6,-1
C06.048,06,Control,7,-1
C06.048,06,Control,8,-1
C06.048,06,Control,9,-1
C06.048,06,Control,10,-1
C06.048,06,Control,11,-1
C06.048,06,Control,12,-1
C06.048,06,Control,13,-1
C06.048,06,Control,14,-1
C06.048,06,Control,15,-1
C06.048,06,Control,16,-1
C06.048,06,Control,17,-1
C06.048,06,Control,18,-1
C06.048,06,Control,19,-1
C06.048,06,Control,20,-1
C06.048,06,Control,21,-1
C06.048,06,Control,22,-1
C06.048,06,Control,23,-1
C06.048,06,Control,24,-0.498011838
C06.048,06,Control,25,0.109144564
A03.049,03,ALAN,1,-0.247135581
A03.049,03,ALAN,2,-0.572265391
A03.049,03,ALAN,3,-1
A03.049,03,ALAN,4,-1
A03.049,03,ALAN,5,-1
A03.049,03,ALAN,6,-1
A03.049,03,ALAN,7,-1
A03.049,03,ALAN,8,-1
A03.049,03,ALAN,9,-1
A03.049,03,ALAN,10,-1
A03.049,03,ALAN,11,-1
A03.049,03,ALAN,12,-1
A03.049,03,ALAN,13,-1
A03.049,03,ALAN,14,-1
A03.049,03,ALAN,15,-1
A03.049,03,ALAN,16,-1
A03.049,03,ALAN,17,-1
A03.049,03,ALAN,18,-1
A03.049,03,ALAN,19,-1
A03.049,03,ALAN,20,-1
A03.049,03,ALAN,21,-1
A03.049,03,ALAN,22,-1
A03.049,03,ALAN,23,-1
A03.049,03,ALAN,24,-1
A03.049,03,ALAN,25,-1
A03.050,03,ALAN,1,1.11666141
A03.050,03,ALAN,2,0.753236776
A03.050,03,ALAN,3,0.775912403
A03.050,03,ALAN,4,-1
A03.050,03,ALAN,5,-0.383203539
A03.050,03,ALAN,6,-1
A03.050,03,ALAN,7,-0.216927469
A03.050,03,ALAN,8,-0.885449429
A03.050,03,ALAN,9,-1
A03.050,03,ALAN,10,-1
A03.050,03,ALAN,11,-1
A03.050,03,ALAN,12,-1
A03.050,03,ALAN,13,-1
A03.050,03,ALAN,14,-0.96624534
A03.050,03,ALAN,15,-1
A03.050,03,ALAN,16,-1
A03.050,03,ALAN,17,-1
A03.050,03,ALAN,18,-1
A03.050,03,ALAN,19,-1
A03.050,03,ALAN,20,-1
A03.050,03,ALAN,21,-1
A03.050,03,ALAN,22,-1
A03.050,03,ALAN,23,-1
A03.050,03,ALAN,24,-1
A03.050,03,ALAN,25,-1
A03.051,03,ALAN,1,1.796043125
A03.051,03,ALAN,2,1.627878384
A03.051,03,ALAN,3,-1
A03.051,03,ALAN,4,0.595181998
A03.051,03,ALAN,5,1.265088097
A03.051,03,ALAN,6,0.156697738
A03.051,03,ALAN,7,-0.783821289
A03.051,03,ALAN,8,-0.564092755
A03.051,03,ALAN,9,0.337730405
A03.051,03,ALAN,10,-1
A03.051,03,ALAN,11,-0.766210795
A03.051,03,ALAN,12,-0.11853481
